Prerequisite_1_grade,Face_to_Face,Course,Blended,Faculty,Availability,Int_Fees,Online,Local_Fees,Part_Time,Prerequisite_2_grade,Full_Time,Duration_Time,Remarks,Website,City,Prerequisite_1,Level_Code,Course_Lang,Distance,Currency,Description,Offline,Currency_Time,Prerequisite_2,Duration,University,Career_Outcomes,Prerequisite_3,Country,Prerequisite_3_grade
6.5,yes,Master of Audiological Sciences,no,Creative Arts & Design & Music,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-audiological-sciences,Perth,IELTS,PG,English,no,AUD,"This course aims to address the increasing global hearing health care needs by providing students with research, development skills and scientific communication skills in audiology.",yes,year,,2,Australian Catholic University,Health Researcher / Health Promotion Officer / Health Diagnostic and Promotion Professional / Research Officer,,Australia,
6.5,yes,Graduate Diploma in Forensic Anthropology,no,Humanities and Social Science,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-forensic-anthropology,Perth,IELTS,PG,English,no,AUD,This course will acquaint you with current developments in forensic sciences of direct relevance to the application of forensic anthropology. ,yes,year,,1,Australian Catholic University,Anatomist or Physiologist / Anthropologist,,Australia,
6.5,yes,Master of Translation Studies,no,Language & Literature,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-translation-studies,Perth,IELTS,PG,English,no,AUD,"This quality professional course will train future translators in English and one of eight Asian and European languages. 
",yes,year,,1.5,Australian Catholic University,Writer / Copywriter / Advertising Professional / Foreign Affairs and Trade Officer,,Australia,
6.5,yes,Graduate Certificate in Mental Health Practice,no,English,A,,no,,yes,,no,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-mental-health-practice,Perth,IELTS,PG,English,no,AUD,"In the Graduate Certificate in Mental Health Practice, you will learn more about the provision of services to people with a mental illness or problem, and to their families and carers.",yes,year,,1,Australian Catholic University,Social Worker,,Australia,
6.5,yes,Master of Commerce and Master of Translation Studies,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-commerce-and-master-of-translation-studies,Perth,IELTS,PG,English,no,AUD,This double master’s degree is the only one of its kind in Australia and teaches complementary skills in Business and Translation Studies.,yes,year,,2.5,Australian Catholic University,Translator / Interpreter / General Manager / Business Administration Manager,,Australia,
6.5,yes,Master of Clinical Pathology,no,Medical and Nursing,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-clinical-pathology,Perth,IELTS,PG,English,no,AUD,"This course focuses on the six major disciplines of clinical pathology (biochemistry, haematology and transfusion science, immunology, anatomical pathology, genetics and microbiology) as well as key elements of professional practice.",yes,year,,2,Australian Catholic University,Medical Scientist / Biochemist/ Molecular Biologist / Geneticist / Microbiologist,,Australia,
6.5,yes,Master of Asian Studies,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-asian-studies,Perth,IELTS,PG,English,no,AUD,"This course will give you the skills and knowledge crucial to understanding and engaging with the Asian region. With flexible study options, including part-time and evening courses, you can enhance your career prospects by developing an in-depth understanding of the region, with the option of specialising in politics or business.",yes,year,,2,Australian Catholic University,Business Administration Manager / Corporate General Manager / Corporate Services Manager / Foreign Affairs and Trade Officer,,Australia,
6.5,yes,Graduate Certificate in Marketing,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,no,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-marketing,Perth,IELTS,PG,English,no,AUD,"The Graduate Certificate in Marketing will equip you with core knowledge in the field. The course can serve as a standalone qualification, or as an entry pathway into the Master of Marketing.",yes,year,,1,Australian Catholic University,Advertising Professional / Advertising and Public Relations Manager / Analyst / Management Consultant,,Australia,
6.5,yes,Master of Taxation Law,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-taxation-law,Perth,IELTS,PG,English,no,AUD,Tax law impacts the outcomes of all business and work activities. Distinguish yourself with specialist knowledge in this globally critical field.,yes,year,,1,Australian Catholic University,Academic / Accountant / Analyst / Auditor,,Australia,
6.5,yes,Master of International Law,no,Law,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-international-law,Perth,IELTS,PG,English,no,AUD,Develop your understanding of international law and how international institutions work.,yes,year,,1,Australian Catholic University,Academic / Chief Executive / Foreign Affairs and Trade Officer / Lawyer,,Australia,
6.5,yes,Graduate Diploma in Social Research Methods,no,Humanities and Social Science,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-social-research-methods,Perth,IELTS,PG,English,no,AUD,"Skilful social researchers are in high demand around the world as we seek to understand why people think and act the way they do, and how to improve peoples’ lives. Applications include identifying and understanding peoples’ attitudes and behaviours in relation to: inequality; education; consumption; immigration; social media; crime; environmental protection; healthy behaviours; the impact of a new industry; the effectiveness of a new policy or program; and more.",yes,year,,1,Australian Catholic University,"Analyst / Anthropologist / Chief Information Officer / Contract, Program and Project Administrators",,Australia,
6.5,yes,Master of Environmental Science,no,Creative Arts & Design & Music,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-environmental-science,Perth,IELTS,PG,English,no,AUD,"The course seeks to create sought after professionals who have the knowledge and practical skills to manage and solve environmental challenges, from local to global, now and into the future. Tap into UWA's long history of multidisciplinary research into environmental systems, and benefit from our unique experience in identifying innovative technology and policy based solutions. ",yes,year,,2,Australian Catholic University,Environmental Consultant / Environmental Manager / Environmental Scientist / Geographer,,Australia,
6.5,yes,Master of Biomedical Science,no,Medical and Nursing,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-biomedical-science,Perth,IELTS,PG,English,no,AUD,"Biomedical Science encompasses a range of biological, medical and health-related disciplines addressing global biomedical challenges such as obesity, cancer, neurological diseases and cardiovascular disease. Biomedical Science draws on the disciplines of anatomy, physiology, biochemistry and neuroscience and the para-clinical disciplines of microbiology, pathology and pharmacology to understand and treat human disease.",yes,year,,2,Australian Catholic University,Academic / Biochemist/ Molecular Biologist / Biologist / Geneticist,,Australia,
6.5,yes,Master of Business Administration (MBA) Flexible,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/master-of-business-administration-flexible-mba,Perth,IELTS,PG,English,no,AUD,UWA’s Master of Business Administration (MBA) has a strong focus on current business trends and is highly desirable for professionals looking to move into higher levels of management.,yes,year,,16,Australian Catholic University,Chief Executive / General Manager / Corporate General Manager / Marketing Specialist,,Australia,
6.5,yes,Graduate Diploma in Building Information Modelling,no,Computer Science & Information Technology,A,,yes,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-building-information-modelling,Perth,IELTS,PG,English,no,AUD,"BIM is a new paradigm in construction. Today, the industry uses 3D models as the basis of a building inception, design, construction management and facilities management. A strong knowledge of BIM gives you an edge in the construction industry, allowing you to have a direct impact on the quality of our built environment.",yes,year,,1,Australian Catholic University,Urban Designer / Architect / Engineer / Environmental Engineer,,Australia,
6.5,yes,Master of Infectious Diseases and Doctor of Philosophy (PhD),no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-infectious-diseases-and-doctor-of-philosophy,Perth,IELTS,DPG,English,no,AUD,This course enables students to undertake a PhD in their chosen discipline with the Master of Infectious Diseases.,yes,year,,4,Australian Catholic University,Academic / Chemist / Doctor (Medical Practitioner) / Health Diagnostic and Promotion Professional,,Australia,
6.5,yes,Master of Social Research Methods,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-social-research-methods,Perth,IELTS,PG,English,no,AUD,"Skilful social researchers are in high demand around the world as we seek to understand why people think and act the way they do, and how to improve peoples’ lives. Applications include identifying and understanding peoples’ attitudes and behaviours in relation to: inequality; education; consumption; immigration; social media; crime; environmental protection; healthy behaviours; the impact of a new industry; the effectiveness of a new policy or program; and more.",yes,year,,2,Australian Catholic University,Analyst / Chief Information Officer / Health Promotion Officer / Health and Welfare Services Manager,,Australia,
6.5,yes,Graduate Certificate in Emergency Medicine Research,no,Engineering,A,,yes,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-emergency-medicine-research,Perth,IELTS,PG,English,no,AUD,"This course is designed for emergency and critical care nurses, emergency medicine and critical care trainees and specialists, paramedics and other health professionals.",yes,year,,1,Australian Catholic University,Doctor (Medical Practitioner),,Australia,
6.5,yes,Master of Mining and Energy Law,no,Computer Science & Information Technology,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-mining-and-energy-law,Perth,IELTS,PG,English,no,AUD,This course is designed to give legal and non-legal professionals the expertise to pursue careers in the mining and energy industries.,yes,year,,1,Australian Catholic University,Management Consultant / Policy Analyst / Policy and Planning Manager,,Australia,
6.5,yes,Graduate Certificate in Strategic Communication,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-strategic-communication,Perth,IELTS,PG,English,no,AUD,"This course provides an overview of the skills, knowledge and capabilities required to participate in the global communications environment across industry, government agencies and community organisations.",yes,year,,6,Australian Catholic University,Academic / Advertising and Public Relations Manager / Chief Executive / Chief Information Officer,,Australia,
6.5,yes,Graduate Certificate in Economics,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-economics,Perth,IELTS,PG,English,no,AUD,"The rise and fall of economies, future employment prospects, incomes and living standards are all at the heart of economics. Economics is at the forefront of controversial public policy issues such as economic growth and the stability of the entire economy, regulating financial institutions, monetary and fiscal policies, dealing with the Australian economy, resource taxation, financing education, immigration, health insurance markets and retirement income planning.",yes,year,,1,Australian Catholic University,Agricultural Consultant / Economist / Finance Manager / Financial Broker,,Australia,
6.5,yes,Master of Urban Design,no,"Architecture, Building & Planning",A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-urban-design,Perth,IELTS,PG,English,no,AUD,"Deliver solutions for the needs of cities and neighbourhoods as an urban designer. The course is delivered by award-winning practitioners and scholars who have extensive local and international experience.
",yes,year,,2,Australian Catholic University,Urban Designer,,Australia,
6.5,yes,Master of Clinical Audiology,no,Medical and Nursing,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-clinical-audiology,Perth,IELTS,PG,English,no,AUD,"Audiology is the clinical science involving the prevention, assessment and rehabilitation of hearing loss and associated communication disorders. UWA's Master of Clinical Audiology course is one of only five university audiology programs offered in Australia.",yes,year,,2,Australian Catholic University,Audiologist,,Australia,
6.5,yes,Master of Teaching (Secondary),no,Science and Health Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-teaching-secondary,Perth,IELTS,PG,English,no,AUD,"A course for university graduates who seek to begin a rewarding career in education. Your subject area expertise, coupled with this sought-after teaching qualification, will see you thrive in the global knowledge society.",yes,year,,1.5,Australian Catholic University,Secondary School Teacher,,Australia,
6.5,yes,Master of Renewable and Future Energy,no,Humanities and Social Science,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-renewable-and-future-energy,Perth,IELTS,PG,English,no,AUD,"As new technologies for the energy sector develop, students will be equipped to adapt and evolve alongside industry changes. The breadth and depth covered through interdisciplinary collaborations within the faculty offers an opportunity to gain more in-depth technical knowledge and skills to tackle the current challenges and opportunities that come with an uptake of renewable energy and distributed renewable energy in microgrids.",yes,year,,1,Australian Catholic University,Secondary School Teacher,,Australia,
6.5,yes,Master of Petroleum Geoscience,no,Engineering,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-petroleum-geoscience,Perth,IELTS,PG,English,no,AUD,The Master of Petroleum Geoscience is a 2-year coursework or coursework and dissertation degree course. This course aims to develop graduates with advanced skills in geological and geophysical data analysis and integration of datasets related to sedimentary basin analysis and petroleum geoscience,yes,year,,1.5,Australian Catholic University,Geologist,,Australia,
6.5,yes,Master of Education,no,Education,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/master-of-education,Perth,IELTS,PG,English,no,AUD,This course is designed for professionals in education who wish to expand their expertise and career possibilities.,yes,year,,1,Australian Catholic University,Early Childhood (Pre-primary School) Educator / Primary School Teacher / School Principal / Secondary School Teacher,,Australia,
6.5,yes,Graduate Certificate in Public Policy,no,Law,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-public-policy,Perth,IELTS,PG,English,no,AUD,"A successful government must design and implement policies that will further the economic, social and legal interests of its citizens. The Graduate Certificate in Public Policy is designed to give graduate students an understanding of the role of the government in economic activity, public policy and legal decision making. It focuses on how the government interacts with the economy and the law and examines, for example: economic growth, stability, taxation, criminal justice, infrastructure provision, regulation, health, defence, education and social security.",yes,year,,6,Australian Catholic University,Research Officer / Analyst / Economist / Land Economist,,Australia,
6.5,yes,Graduate Certificate in Finance,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-finance,Perth,IELTS,PG,English,no,AUD,UWA’s postgraduate courses in finance are designed to provide you with a practical grounding in the finance area.,yes,year,,6,Australian Catholic University,Actuary / Chief Executive / Corporate Treasurer / Credit and Loans Officer,,Australia,
6.5,yes,Doctor of Podiatric Surgery,no,Medical and Nursing,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-podiatric-surgery,Perth,IELTS,DPG,English,no,AUD,This course provides additional theoretical and clinical knowledge in podiatric medicine and surgery beyond the Doctor of Podiatric Medicine degree.,yes,year,,3,Australian Catholic University,Podiatrist,,Australia,
6.5,yes,Graduate Certificate in Studies,no,Medical and Nursing,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-studies,Perth,IELTS,PG,English,no,AUD,"This course
is designed for graduates who have interdisciplinary personal, academic and/or
professional interests and want to pursue those interests through postgraduate
study.",yes,year,,6,Australian Catholic University,Academic / University Lecturer,,Australia,
6.5,yes,Graduate Diploma in Strategic Communication,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-strategic-communication,Perth,IELTS,PG,English,no,AUD,"The Graduate Diploma in Strategic Communication focuses on advancing the skills, knowledge and capabilities required to successfully participate in the contemporary communications environment. ",yes,year,,1,Australian Catholic University,Academic / Advertising Professional / Advertising and Public Relations Manager / Chief Executive,,Australia,
6.5,yes,Master of Professional Accounting,no,Engineering,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-professional-accounting,Perth,IELTS,PG,English,no,AUD,The Master of Professional Accounting provides training in the technical aspects of the preparation of accounting data; develops your skills in the application of accounting information to solve problems and make decisions; and develops the important professional skills such as communication and critical thinking.,yes,year,,1.5,Australian Catholic University,Accountant / Auditor / Corporate Treasurer / Credit and Loans Officer,,Australia,
6.5,yes,Master of Business Administration and Master of International Commercial Law,no,Business & Commerce & Finance & Accounting,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-business-administration-and-master-of-international-commercial-law-mba,Perth,IELTS,PG,English,no,AUD,"In just two years, you can graduate with two master's degrees. Gain an internationally recognised MBA, as well as a master's degree in international commercial law.",yes,year,,2,Australian Catholic University,Accountant / Advertising Professional / Advertising and Public Relations Manager / Analyst,,Australia,
6.5,yes,Graduate Certificate in Business Information and Logistics Management,no,Computer Science & Information Technology,A,,no,,yes,,no,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-business-information-and-logistics-management,Perth,IELTS,PG,English,no,AUD,"Undertaking postgraduate studies in Business Information and Logistics Management (BILM) will develop your ability to work with IT teams to improve operations, and improve your capacity to oversee a portfolio of strategic projects.You will develop and expand your skills to manage IT infrastructure projects, determine enterprise systems requirements, analyse organisational data for business intelligence, lead information systems strategies, manage supply chains, and apply emerging technologies across the enterprise.",yes,year,,1,Australian Catholic University,Analyst / Business Administration Manager / Chief Information Officer / Computer Network Professional,,Australia,
6.5,yes,Master of Agricultural Science,no,Agriculture,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-agricultural-science,Perth,IELTS,PG,English,no,AUD,"The challenges of a rapidly growing population and the limitations of land and fresh water all affect the ability of agriculture to meet the demand for food, fibre and fuel. Agricultural Science provides the research, technology and information for the sustainable, profitable and ethical development of the agricultural industry.",yes,year,,2,Australian Catholic University,Agricultural Consultant / Agricultural Scientist / Biotechnologist / Economist,,Australia,
6.5,yes,Graduate Certificate in Tertiary Teaching,no,Science and Health Science,A,,no,,yes,,no,years,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-tertiary-teaching,Perth,IELTS,PG,English,no,AUD,"Responding to national and international trends in quality teaching, this course has been designed to assist tertiary educators working in higher education with their teaching and mentoring skills.",yes,year,,2,Australian Catholic University,University Lecturer,,Australia,
6.5,yes,Master of Clinical Exercise Physiology,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-clinical-exercise-physiology,Perth,IELTS,PG,English,no,AUD,"This course is designed to provide a holistic understanding of the use of exercise as a modality in the treatment of musculoskeletal, cardiovascular, metabolic and other chronic and complex conditions.",yes,year,,2,Australian Catholic University,Accredited Exercise Physiologist,,Australia,
6.5,yes,Graduate Certificate in Entrepreneurship and Innovation,no,Business & Commerce & Finance & Accounting,A,,yes,,yes,,no,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-entrepreneurship-and-innovation,Perth,IELTS,PG,English,no,AUD,,yes,year,,1,Australian Catholic University,Business Administration Manager / Entrepreneur,,Australia,
6.5,yes,Master of Social Work,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-social-work,Perth,IELTS,PG,English,no,AUD,This is for students with any undergraduate degree who would like to pursue a professional qualification in social work.,yes,year,,2,Australian Catholic University,Social Researcher,,Australia,
6.5,yes,Master of Public Health,no,English,A,,yes,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-public-health,Perth,IELTS,PG,English,no,AUD,The Master of Public Health course is suitable for graduates from any field seeking a career in the health industry as a professional public health practitioner or researcher. ,yes,year,,1.5,Australian Catholic University,Policy Analyst / Program or Project Manager / Research Officer / Health Promotion Officer,,Australia,
6.5,yes,Graduate Diploma in Translation Studies,no,Language & Literature,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-translation-studies,Perth,IELTS,PG,English,no,AUD,"This course equips you with advanced knowledge about translation theory and practice. The course develops your skills in translating between English and your chosen language, with specialisations including Chinese, French, German and Italian.",yes,year,,1,Australian Catholic University,Copywriter / Academic / Advertising Professional / Advertising and Public Relations Manager,,Australia,
6.5,yes,Graduate Certificate in Heritage Studies,no,Humanities and Social Science,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-heritage-studies,Perth,IELTS,PG,English,no,AUD,Pursue a postgraduate qualification in Heritage Studies to meet your training needs. This course provides a foundation to study the Graduate Diploma and master's course in Heritage Studies. The Graduate Certificate is also suitable as a short course if you have an interest in advancing your skills in the area of heritage.,yes,year,,6,Australian Catholic University,Academic / Anthropologist / Archaeologist / Archivist,,Australia,
6.5,yes,Graduate Certificate in Leadership,no,Humanities and Social Science,A,,no,,yes,,no,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-leadership,Perth,IELTS,PG,English,no,AUD,,yes,year,,1,Australian Catholic University,Management Consultant / General Manager,,Australia,
6.5,yes,Master of Commerce and Master of International Commercial Law,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-commerce-and-master-of-international-commercial-law,Perth,IELTS,PG,English,no,AUD,Our Master of Commerce gives you a broad range of knowledge and skills in business.,yes,year,,2,Australian Catholic University,Accountant / Advertising Professional / Advertising and Public Relations Manager / Analyst,,Australia,
6.5,yes,Master of Physics,no,Science and Health Science,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-physics,Perth,IELTS,PG,English,no,AUD,"This course is about understanding the world around us at its most fundamental level. The knowledge generated through the study of physics is also the driving force behind most new technologies, from radars to lasers, from transistors to quantum computers, and from electron microscopes to advanced medical imaging scanners.",yes,year,,2,Australian Catholic University,Astronomer / Medical Physicist / Academic / Analyst,,Australia,
6.5,yes,Master of International Law and Master of International Relations,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-international-law-and-master-of-international-relations,Perth,IELTS,PG,English,no,AUD,Give your international career a boost by completing two master's degrees: one in international law and another in international relations.,yes,year,,2,Australian Catholic University,Foreign Affairs and Trade Officer / Intelligence Analyst / Journalist / Parliamentarian,,Australia,
6.5,yes,Master of Professional Engineering,no,Engineering,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-professional-engineering,Perth,IELTS,PG,English,no,AUD,"This course has been developed in consultation with industry to equip you with the advanced technical expertise, critical thinking and professional skills required to remain competitive in a global workforce. Focus on your chosen field of engineering to further your career options. For example, students interested in a career in the oil and gas industry can opt to specialise in chemical engineering, civil engineering, electrical engineering or mechanical engineering. By choosing the discipline that most interests you, you will not only gain a deep understanding of the discipline from a holistic engineering perspective, but undertake units relevant to your area of interest. The Master of Professional Engineering is the route to a professional engineering qualification for those who have studied the Engineering Science major in the UWA Engineering Direct Pathway.",yes,year,,3,Australian Catholic University,Chemical Engineer / Civil Engineer / Electrical Engineer / Electronics Engineer,,Australia,
6.5,yes,Graduate Certificate in Human Resources and Employment Relations,no,Tourism and Hotel Management,A,,no,,yes,,no,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-human-resources-and-employment-relations,Perth,IELTS,PG,English,no,AUD,The Graduate Certificate in Human Resources and Employment Relations is designed to equip you with foundation knowledge in the field and can serve as an entry pathway to the Master of Human Resources and Employment Relations.,yes,year,,1,Australian Catholic University,Business Administration Manager / Chief Executive / Human Resource Professional / Policy Analyst,,Australia,
6.5,yes,Master of Pharmacy,no,Medical and Nursing,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-pharmacy,Perth,IELTS,PG,English,no,AUD,"This program provides a direct pathway to a professional postgraduate qualification in Pharmacy for registration as a pharmacist in this country. The Australian government predicts strong employment growth for pharmacists over the coming years, partly due to the expanding role of pharmacists in healthcare delivery.",yes,year,,2,Australian Catholic University,Pharmacist,,Australia,
6.5,yes,Graduate Diploma in Sleep Science,no,Medical and Nursing,A,,no,,yes,,yes,year,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-sleep-science,Perth,IELTS,PG,English,no,AUD,"The Graduate Diploma in Sleep Science provides students with both the introductory information covered in either the Graduate Certificate in Adult Sleep Science or the Graduate Certificate in Paediatric Sleep Science, as well as more advanced competencies in sleep technology.",yes,year,,1,Australian Catholic University,Laboratory Manager,,Australia,
6.5,yes,Master of Teaching (Secondary),no,Science and Health Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-teaching-secondary,Perth,IELTS,PG,English,no,AUD,"A course for university graduates who seek to begin a rewarding career in education. Your subject area expertise, coupled with this sought-after teaching qualification, will see you thrive in the global knowledge society.",yes,year,,1.5,Australian Catholic University,Secondary School Teacher,,Australia,
6.5,yes,Graduate Certificate in Business Analytics,no,Business & Commerce & Finance & Accounting,A,,no,,yes,,no,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-business-analytics,Perth,IELTS,PG,English,no,AUD,The Graduate Certificate in Business Analytics enables students to develop analytical and technical skills and apply these skills to business contexts. This course enables graduates to draw insights from data to make better business decisions. ,yes,year,,1,Australian Catholic University,Analyst / Chief Executive / Market Research Analyst / Business Systems Analyst,,Australia,
6.5,yes,Graduate Diploma in Clinical Psychology,no,Medical and Nursing,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-clinical-psychology,Perth,IELTS,PG,English,no,AUD,If you’re looking to upskill in clinical psychology and you’ve completed a master’s degree or equivalent in clinical neuropsychology and are qualified with the Psychology Board of Australia (PsyBA) this bridging course allows you to do that. You’ll be eligible for endorsement as a clinical psychologist with the PsyBA and the Australian Health Practitioner Regulation Board (AHPRA).,yes,year,,2,Australian Catholic University,Psychologist / Academic / Clinical Psychologist / Health Diagnostic and Promotion Professional,,Australia,
6.5,yes,Master of Business Administration and Master of Laws,no,Business & Commerce & Finance & Accounting,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-business-administration-and-master-of-laws-mba,Perth,IELTS,PG,English,no,AUD,"In just two years, you can graduate with two master's degrees. Gain an internationally recognised MBA, as well as a master's degree in law.",yes,year,,2,Australian Catholic University,Accountant / Advertising Professional / Advertising and Public Relations Manager / Analyst,,Australia,
6.5,no,Graduate Certificate in Commerce (Online),no,Business & Commerce & Finance & Accounting,A,,yes,,yes,,no,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-commerce-online,Perth,IELTS,PG,English,no,AUD,,no,year,,1,Australian Catholic University,Accountant / Advertising Professional / Advertising and Public Relations Manager / Analyst,,Australia,
6.5,yes,Master of Geoscience,no,Science and Health Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-geoscience,Perth,IELTS,PG,English,no,AUD,"Geoscience is the study of our dynamic planet and aims to understand the origin and evolution of Earth, its ancient environments and climates, natural hazards and the formation of resources including petroleum, mineral deposits and groundwater. Knowledge of past and present earth processes is fundamental to predicting future environmental change.",yes,year,,2,Australian Catholic University,Geophysicist / Geologist,,Australia,
6.5,yes,Graduate Certificate in Social Impact,no,Humanities and Social Science,A,,yes,,yes,,no,year,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-social-impact,Perth,IELTS,PG,English,no,AUD,"Designed to build the professional capacity of managers and executives across the corporate, government and third (not-for-profit) sectors, the Graduate Certificate in Social Impact teaches the critical leadership skills needed to manage organisations, businesses and social programs.",yes,year,,1,Australian Catholic University,Business Administration Manager / Chief Executive / Chief Information Officer / Company Secretary,,Australia,
6.5,yes,Master of International Development,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-international-development,Perth,IELTS,PG,English,no,AUD,"The Master of International Development engages you with the contemporary challenges of addressing poverty and inequality globally through an emphasis on empirical evidence, real-world case studies, and debates. You will develop the knowledge and skills to approach practical and policy challenges in a wide range of contexts by drawing on expertise from development geographers, political scientists, resource economists and development practitioners. Specialisations in either Development in Practice, Economics of Development or Politics of Development are unique and provide you with both focus and flexibility.",yes,year,,1.5,Australian Catholic University,"Academic / Chief Executive / Contract, Program and Project Administrators / Economist",,Australia,
6.5,yes,Master of Health Science,no,English,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-health-science,Perth,IELTS,PG,English,no,AUD,This course encompasses a range of health disciplines that underpin advances crucial to human health and wellbeing. It provides you with a unique combination of the three key platforms: public health; advanced study in a related science discipline; and an industry internship. It provides a pathway for you to further develop your science knowledge and integrate this knowledge with a solid grounding in public health as well as providing a work practicum in the health industry. This integration enables you to be job-ready at the end of your course.,yes,year,,2,Australian Catholic University,Health Diagnostic and Promotion Professional / Health Promotion Officer / Health and Welfare Services Manager / Occupational Health Professional,,Australia,
6.5,yes,Graduate Certificate in Translation Studies,no,Language & Literature,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-translation-studies,Perth,IELTS,PG,English,no,AUD,This course offers foundational knowledge about translation and develops skills in translating from and into English and one of eight languages.,yes,year,,6,Australian Catholic University,Copywriter / Academic / Advertising Professional / Foreign Affairs and Trade Officer,,Australia,
